Num_packet	Acc_X	Acc_Y	Acc_Z	Rot_X	Rot_Y	Rot_Z	Temp	Pre	    Alt	Temps_s	Temps_ms
[Id]        [m/s^2] [m/s^2] [m/s^2] [°/s]   [°/s]   [°/s]   [°C]    [Pa]    [m] [s]     [ms]
--------------------------------------------------------------------------------------------------------
555	-0.23	0.44	0.63	29.99	22.24	27.42	27.17	-1125	44330.00	118	656
556	-0.19	0.44	0.61	45.41	13.61	29.47	27.17	-1125	44330.00	118	856
557	-0.25	0.44	0.60	32.70	23.09	27.55	27.26	-1125	44330.00	119	56
558	-0.25	0.45	0.60	49.25	8.67	27.27	27.31	-1125	44330.00	119	256
559	-0.21	0.43	0.61	37.15	22.52	30.53	27.21	-1125	44330.00	119	456
560	-0.24	0.45	0.64	40.69	11.81	22.58	27.31	-1125	44330.00	119	656
561	-0.25	0.44	0.62	32.46	24.37	28.83	27.26	-1125	44330.00	119	856
562	-0.23	0.44	0.62	37.49	20.81	25.81	27.35	-1119	44330.00	120	56
563	-0.27	0.45	0.60	43.04	13.40	25.99	27.21	-1119	44330.00	120	256
564	-0.26	0.46	0.65	33.19	23.67	28.49	27.21	-1128	44330.00	120	456
565	-0.24	0.45	0.62	47.67	14.19	29.59	27.31	-1128	44330.00	120	656
566	-0.24	0.43	0.63	39.89	19.89	30.29	27.26	-1119	44330.00	120	856
567	-0.25	0.45	0.64	41.63	17.15	30.35	27.17	-1125	44330.00	121	56
568	-0.24	0.46	0.63	39.16	17.06	27.58	27.21	-1128	44330.00	121	256
569	-0.25	0.46	0.71	34.74	21.30	26.91	27.21	-1128	44330.00	121	456
570	-0.26	0.45	0.66	42.58	11.69	25.14	27.31	-1134	44330.00	121	656
571	-0.27	0.43	0.64	22.09	35.69	28.77	27.21	-1125	44330.00	121	856
572	-0.10	0.51	0.67	72.06	-3.70	34.28	27.26	-1119	44330.00	122	56
573	-0.18	0.24	0.56	43.49	42.67	11.48	27.26	-1134	44330.00	122	256
574	-0.29	0.18	0.50	17.85	68.00	23.80	27.26	-1119	44330.00	122	456
575	-0.25	0.10	0.41	32.24	56.88	51.02	27.21	-1116	44330.00	122	656
576	-0.28	0.17	0.82	32.70	-57.30	11.17	27.31	-1125	44330.00	122	856
577	-0.60	0.11	0.16	92.39	-175.63	-11.78	27.21	-1116	44330.00	123	56
578	-0.88	0.15	-0.45	96.39	-33.09	43.49	27.26	-1125	44330.00	123	256
579	-0.54	0.16	-0.44	-108.79	124.95	-0.72	27.17	-1137	44330.00	123	456
580	-0.92	0.04	-0.34	9.68	36.23	12.39	27.17	-1134	44330.00	123	656
581	-1.27	0.21	-0.29	20.02	5.53	-47.30	27.21	-1145	44330.00	123	856
582	-1.05	0.27	-0.10	13.86	26.39	16.42	27.21	-1140	44330.00	124	56
583	-0.91	0.29	-0.19	19.13	33.43	29.10	27.21	-1145	44330.00	124	256
584	-0.92	0.31	-0.06	19.59	31.91	25.35	27.17	-1137	44330.00	124	456
585	-0.81	0.32	-0.07	39.96	15.78	30.78	27.35	-1134	44330.00	124	656
586	-0.78	0.40	0.04	35.60	39.74	34.80	27.31	-1128	44330.00	124	856
587	-0.82	0.35	0.02	26.97	20.35	27.73	27.21	-1128	44330.00	125	56
588	-0.86	0.37	0.06	36.51	14.53	24.50	27.21	-1116	44330.00	125	256
589	-0.87	0.33	0.07	38.92	18.25	21.87	27.35	-1119	44330.00	125	456
590	-0.83	0.35	0.09	48.77	21.54	37.15	27.26	-1107	44330.00	125	656
591	-0.88	0.36	0.06	22.82	19.65	21.72	27.26	-1116	44330.00	125	856
592	-0.77	0.37	0.05	42.70	19.89	29.28	27.21	-1116	44330.00	126	56
593	-0.85	0.36	0.09	31.21	20.38	24.01	27.12	-1104	44330.00	126	256
594	-0.83	0.36	0.10	34.83	19.92	25.59	27.21	-1099	44330.00	126	456
595	-0.86	0.37	0.09	53.83	6.63	28.12	27.26	-1099	44330.00	126	656
596	-0.79	0.34	0.08	50.14	4.89	32.45	27.17	-1104	44330.00	126	856
